Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
03/17/2023 07:31:50.681	ONENOTE (0xA14)	0x10AC	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.OneNote.System.AppLifeCycle.AppLaunch","Flags":2814758373932801,"InternalSequenceNumber":38,"Time":"2023-03-17T07:31:50.681Z"}	
03/17/2023 07:31:50.790	ONENOTE (0xA14)	0x248	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.FullValidation","Flags":33777005812104961,"InternalSequenceNumber":44,"Time":"2023-03-17T07:31:50.789Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.14","Activity.Duration":106027,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":false,"Activity.Result.Code":-1073418220,"Activity.Result.Type":"HRESULT","Data.IsSessionLicensing":false,"Data.Acid":"{28F64A3F-CF84-46DA-B1E8-2DFA7750E491}","Data.LicenseCategory":8,"Data.Licenses":"","Data.LicenseStatuses":"","Data.ValidAcids":"{D7279DD0-E175-49FE-A623-8FC2FC00AFC4}"}	
03/17/2023 07:31:50.797	ONENOTE (0xA14)	0x248	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.ShouldRunRedesignedGraceExperience","Flags":33777005812104961,"InternalSequenceNumber":51,"Time":"2023-03-17T07:31:50.797Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.17.1.3","Activity.Duration":48,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":560813653,"Data.OOBEMode":0}	
03/17/2023 07:31:52.685	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.LoadXmlRules","Flags":33777014401990913,"InternalSequenceNumber":58,"Time":"2023-03-17T07:31:52.685Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.7.2","Activity.Duration":136663,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT"}	
03/17/2023 07:31:52.688	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.ProcessIdleQueueJob","Flags":33777014401990913,"InternalSequenceNumber":60,"Time":"2023-03-17T07:31:52.688Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.7","Activity.Duration":2127994,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
03/17/2023 07:31:55.544	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.DynamicConfig.FetchConfigs","Flags":33777014401990913,"InternalSequenceNumber":61,"Time":"2023-03-17T07:31:55.544Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.19","Activity.Duration":8983,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.RejectedConfigsList":"","Data.ParsedConfigCount":37,"Data.RejectedConfigCount":0}	
03/17/2023 07:31:55.592	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.AriaEventSink.HandleMsaDeviceTokenResponse","Flags":33777014401991169,"InternalSequenceNumber":62,"Time":"2023-03-17T07:31:55.592Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.20.1","Activity.Duration":381,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT","Data.RetryCount":0}	
03/17/2023 07:31:55.592	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.AriaEventSink.RequestMsaDeviceToken","Flags":33777014401991169,"InternalSequenceNumber":63,"Time":"2023-03-17T07:31:55.592Z","Contract":"Office.System.Activity","Activity.CV":"aLHxjvcK6USdPBJq2fGo5Q.20","Activity.Duration":10968,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT","Data.RetryCount":0}	
03/17/2023 07:31:55.594	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.FlushEventBuffer","Flags":33777014401991169,"InternalSequenceNumber":64,"Time":"2023-03-17T07:31:55.594Z","Data.FirstPassCount":61,"Data.SecondPassCount":2}	
03/17/2023 07:31:55.599	ONENOTE (0xA14)	0x2508	Microsoft OneNote	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.RedstoneInboxSampling","Flags":33777022991925505,"InternalSequenceNumber":67,"Time":"2023-03-17T07:31:50.502Z","Rule":"90403.1","Contract":"Office.Legacy.Metadata","Data.MeasuresEnabled":true}	
